Source	Domain 	SourceText 	SourceLanguage	TargetLanguage 	OutputGoogle 	EvalSentenceLevelGoogle 	EvalSnippetLevelGoogle 	ErrorTypeGoogle	OutputMicrosoft	EvalSentenceLevelMicrosoft 	EvalSnippetLevelMicrosoft 	ErrorTypeMcirosoft	OutputLesan 	EvalSentenceLevelLesan	EvalSnippetLevelLesan	ErrorTypeLesan
https://edition.cnn.com/travel/article/ethiopian-food-best-dishes-africa/index.html#:~:text=Sliced%20beef%20or,to%20no%20vegetables.	Arts_and_Culture	Tibs is made from Sliced beef or lamb, pan-fried in butter, garlic and onion, tibs is one of the most popular dishes among Ethiopians. It comes in a variety of forms, varying in type, size or shape of the cuts of meat used, and can range from hot to mild or contain little to no vegetables.	en	ti	ቲብስ ካብ ዝተቖርጸ ስጋ ከብቲ ወይ ገንሸል ዝስራሕ ኮይኑ፡ ኣብ ሓርጭ፡ ሽጉርትን ቱፋሕን ኣብ ጣውላ ዝተጠብሰ ኮይኑ፡ ቲብስ ሓደ ካብቶም ኣብ ኢትዮጵያውያን ዝፈትዉ መግብታት እዩ። ብዝተፈላለየ መልክዕ ዝመጽእ ኮይኑ፡ ብዓይነት፡ ዓቐን ወይ ቅርጺ ናይቲ ዝጥቀመሉ ዝተቖርጸ ስጋ ዝፈላለ ኮይኑ፡ ካብ ውዑይ ክሳብ ልኡም ክኸውን ወይ ውሑድ ወይ ዋላ ሓንቲ ኣሕምልቲ ክህልዎ ይኽእል።	2, 4	2.0	spelling	ቲብስ ካብ እተቘርጸ ስጋ ብዕራይ ወይ ገንሸል እዩ ዚስራሕ፣ ጠስምን ጻዕዳ ሽጕርትን ሽጕርትን ዘለዎ ዀይኑ ሓደ ኻብቲ ኣብ ኢትዮጵያውያን ህቡብ ዝዀነ ምግቢ እዩ። እተፈላለየ ዓይነት ግዝፊ ወይ ቅርጺ እቲ ዚዝውተር ስጋ እተፈላለየ መልክዕ እዩ ዘለዎ ካብ ምዉቕ ክሳዕ ልኡም ወይ ኣሕምልቲ እውን ኪሕዝ ኣይክእልን እዩ።	4, 2	2.0	Omission	ቲብስ ካብ ቀላጥ ስጋ ወይ ዕየት ዝስራሕ ኰይኑ ፡ ኣብ ጠስሚ ፡ ጻዕዳ ሽጕርትን ሽጕርትን ዝዳሎ ጠስሚ እዩ ፣ ቲብስ ሓደ ካብቲ ኣብ ኢትዮጵያውያን ህቡብ ዝዀነ ዓይነት ምግቢ እዩ ። እተፈላለየ ዓይነት ፡ ግዝፊ ወይ ቅርጺ እቲ እንጥቀመሉ ዓይነት ስጋ እዩ ዝርከብ ፣ ካብ ውዑይ ክሳዕ ልኡም ፡ ወይ ከኣ ካብ ኣሕምልቲ ሒደት ዝሕዝ ክኸውን ይኽእል እዩ ።	1,3	1	mistranslation
https://edition.cnn.com/travel/article/ethiopian-food-best-dishes-africa/index.html#:~:text=fresher%20or%20tastier.-,Kitfo,to%20be%20betam%20leb%20leb%20(%22very%20warmed%2C%22%20which%20basically%20means%20cooked).,-Kitfo%20can%20be	Arts_and_Culture	"Kitfo Made from the leanest meat, kitfo is viewed as a big treat by ordinary Ethiopians, while its nutritional powers are also praised. Similar to French steak tartare, the meat is minced and warmed in a pan with a little butter, mitmita (a stronger version of berbere) and sometimes thyme. Kitfo is typically served leb leb (warmed, not cooked), though you can ask for it to be betam leb leb (""very warmed,"" which basically means cooked)."	en	ti	ኪትፎ ካብቲ ዝቐጠነ ስጋ ዝተሰርሐ ኪትፎ ብተራ ኢትዮጵያውያን ከም ዓቢ መመገቢ ክረአ እንከሎ፡ ናይ ኣመጋግባ ሓይሉ’ውን ይንኣድ። ልክዕ ከም ፈረንሳዊ ስቴክ ታርታረ፡ እቲ ስጋ ኣብ ጣውላ ንእሽቶ ሓርጭ፡ ሚትሚታ (ዝሓየለ ቅዲ በርበረ)፡ ሓደ ሓደ ግዜ ድማ ታይምን ሒዝካ ተቖሪጹ ይውዕይ። ኪትፎ ብተለምዶ ለብ ለብ (ዝሞቐ፡ ዘይተበሰለ) እዩ ዝቐርብ፣ ዋላ እኳ በታም ለብ ለብ (&quot;ኣዝዩ ዝሞቐ&quot; ማለት ብመሰረቱ ዝተበሰለ ማለት እዩ) ክኸውን ክትሓትት ትኽእል ኢኻ።	4,2,4	3.0	mistranslation	"ኪትፎ ኻብቲ ልሙጽ ስጋ እተሰርሐ ዀይኑ ተራ ኢትዮጵያውያን ከም ዓብዪ ነገር ገይሮም እዮም ዚርእይዎ እቲ ናይ ኣመጋግባ ሓይሉ እውን ይንኣድ እዩ። እቲ ስጋ ልክዕ ከም ናይ ፈረንሳ ታርታር ኣብ ድስቲ ቝሩብ ጠስሚ ሚሚታ (ብርቱዕ ትርጕም በርበር) ሓድሓደ ግዜ ኸኣ ታይም ይቝረጽን ይመውቕን ። ኪትፎ መብዛሕትኡ ግዜ ለብ ሊብ (ምዉቕ ደኣ እምበር እተጠብሰ ኣይኰነን) ይቐርብ ኢዩ እንተዀነ ግን ቤታም ለብ ለብ (""ኣዝዩ ምዉቕ"" ማለት ብመሰረቱ እተጠብሰ ማለት ኢዩ) ክትሓትት ትኽእል ኢኻ።"	4,2,3	2.0	Mistranslation	"ክትፎ ካብ ድዑል ስጋ እተሰርሐት ክትፎ ፡ ተራ ኢትዮጵያውያን ከም ዓብዪ ሕክምና ገይሮም እዮም ዝርእይዋ ፣ ናይ ኣመጋግባ ሓይላ እውን ትንኣድ እያ ። ልክእ ከምቲ ናይ ፈረንሳይኛ ናይ ስረ መታረሪ ፡ እቲ ስጋ ቁሩብ ጠስሚ ፡ ሚቲሚታ (ዝደልደለ ቅሪት በርበረ) ከምኡ 'ውን ሓደ ሓደ ግዜ ዓባይቶ ዘለዎ ኣብ ባዴላ ይዕደንን ይመውቕን ። ክትፎ ከም ልሙድ ናይ ለብ (ምዉቕ እምበር ዝበሰለ ኣይኮነን) ይቕረብ ፡ እንተኾነ ካብ ሊብ ቤታም ለብ (""ኣዝዩ ምዉቕ"" እዩ ብመሰረቱ ዝበሰለ ማለት እዩ) ።"	2,2,2	2	spelling
https://adventuresinethiopia.com/our-kitchen/#:~:text=Beyainatu%20%E2%80%93%20name%20of%20Ethiopia's%20most,riot%20of%20colors%20and%20tastes.	Arts_and_Culture	"The name of Ethiopia's most popular vegetarian dish translates as ""a bit of every type,"" hence your injera arrives blanketed in piles of tasty and colorful vegetables, potatoes, curries, lentil stews and more, creating a riot of colors and tastes."	en	ti	ስም ናይቲ ኣብ ኢትዮጵያ ዝበዝሐ ተፈታዊ ዝኾነ ናይ ቬጀቴሪያን ምግቢ &quot;ቁሩብ ናይ ኩሉ ዓይነት&quot; ተባሂሉ ይትርጎም፡ ካብዚ እዩ ድማ ኢንጀራኻ ኣብ ኵምራ ጥዑምን ሕብራዊን ኣሕምልቲ፡ ድንሽ፡ ካሪ፡ ሽሮ ምሸላን ካልእን ተሸፊኑ ይመጽእ፡ እዚ ድማ ሕብርታትን ጣዕምን ናዕቢ ይፈጥር።	2	2.0	untranslated	"ስም እቲ ኣብ ኢትዮጵያ ህቡብ ዝዀነ ኣሕምልቲ ""ኵሉ ዓይነት"" ተባሂሉ ስለ ዚትርጐም እቲ መርፍእካ ብጥዑምን ሕብራዊ ኣሕምልትን ድንሽ ካሪ ጸብሒ ብርስንን ካልእ ከምኡ ዝኣመሰለ ነገራትን እተሸፈነ ብምዃኑ ሕብርታትን መቐረትን ናዕቢ ይፈጥር።"	2	2.0	Mistranslation	"ስም እቲ ኣብ ኢትዮጵያ ኣዝዩ ህቡብ ዝዀነ ኣሕምልቲ ዘለዎ ምግቢ ፡ ""ካብ ኵሉ ዓይነት ምግቢ"" ተባሒሉ ስለ ዝትርጐም ፡ እንጀራኻ ኣብ ልሙዕን ሕብራዊን ኣሕምልቲ ፡ ድንሽ ፡ መርገም ፡ ናይ ለንስ ጸብሕን ካልእን ተሓዊሱ ስለ ዝኣቱ ፡ ናዕብን ሕብርን ይፈጥር ።"	1	1	mistranslation
https://edition.cnn.com/travel/article/ethiopian-food-best-dishes-africa/index.html#:~:text=Popular%20across%20East%20Africa%20and%20the%20Middle%20East%2C%20Ethiopian%20fuul%20is%20a%20mix%20of%20stewed%20and%20spiced%20fava%20beans%20eaten%20by%20many%20Ethiopians%20for%20breakfast.	Arts_and_Culture	Popular across East Africa and the Middle East, Ethiopian fuul is a mix of stewed and spiced fava beans eaten by many Ethiopians for breakfast.	en	ti	ኣብ መላእ ምብራቕ ኣፍሪቃን ማእከላይ ምብራቕን ህቡብ ዝኾነ ኢትዮጵያዊ ፉል፡ ብብዙሓት ኢትዮጵያውያን ንቁርሲ ዝበልዕዎ ዝተጠብሰን ቀመምን ፋቫ ፍረታት ዝተሓዋወሰ እዩ።	4	4.0		ኣብ ብምሉኡ ምብራቕ ኣፍሪቃን ማእከላይ ምብራቕን ህቡብ ዝዀነ ኢትዮጵያዊ ፉል ብዙሓት ኢትዮጵያውያን ቍርሲ ንምብላዕ ዝበልዕዎ እተጠዋወየን ቀመማትን ፋቫ ዝበሃል ዓይነት ባኒ ኢዩ።	2	2.0	Mistranslation	ኣብ ምብራቕ ኣፍሪቃን ማእከላይ ምብራቕን ህቡብ ዝዀነ ኢትዮፕያ ፉል ፡ ካብ ሓደ ጸብሒ እተሰንከተ ኰይኑ ፡ ብዙሓት ኢትዮጵያውያን ንቝርሲ ዝበልዕዎ ሓርጭ እዩ ።	1	1	mistranslation
https://edition.cnn.com/travel/article/ethiopian-food-best-dishes-africa/index.html#:~:text=Not%20for%20the%20faint%2Dhearted%2C%20one%20of%20Ethiopia%27s%20most%20popular%20delicacies%20is%20cubes%20of%20raw%20red%20meat.%20Two%20people%20typically%20order%20half%20a%20kilo%20of%C2%A0tere%20siga%C2%A0to%20share%2C%20which%20is%20eaten%20with%20injera%20or%20bread%20to%20clasp%20the%20meat%20you%20carve%20off%20the%20raw%20slab%2C%20and%20dipped%20in%20copious%20amounts%20of%C2%A0mitmita.	Arts_and_Culture	Not for the faint-hearted, one of Ethiopia's most popular delicacies is cubes of raw red meat. Two people typically order half a kilo of tere siga to share, which is eaten with injera or bread to clasp the meat you carve off the raw slab, and dipped in copious amounts of mitmita.	en	ti	ንዝደኸመ ልቢ ዘይኮነስ፡ ሓደ ካብቶም ኣብ ኢትዮጵያ ዝፈትዉ ጥዑማት መግብታት፡ ኩቦታት ጥረ ቀይሕ ስጋ እዩ። ክልተ ሰባት ብተለምዶ ፍርቂ ኪሎ ቴረ ሲጋ ንኽካፈሉ ይእዝዙ፣ እዚ ድማ ነቲ ካብቲ ጥረ ጽላት ዝቐረጽካዮ ስጋ ንምጭባጥ ምስ ኢንጀራ ወይ ባኒ ይብላዕ፣ ኣብ ብዙሕ ሚትሚታ ድማ ይጥሕል።	4, 3	3.0	mistranslation	ነቶም ድኹም ዝልቦም ዘይኰነስ ሓደ ኻብቲ ኣብ ኢትዮጵያ ህቡብ ዝዀነ ጥዑም ምግቢ ጥረ ቐይሕ ስጋ እዩ። ክልተ ሰባት ንፍርቂ ኪሎ ግራም ዚምዘን ሲጋ ይእዝዙ እዮም ፣ እዚ ሲጋ እዚ ነቲ ኻብቲ ጽላት እተቐርጸ ስጋ ንምጭባጥ ብኢንጀራ ወይ ብእንጌራ እዩ ዚብላዕ ፣ ብዙሕ ሚሚታ ድማ ይጥሕል ።	4, 2	2.0	Omission	ሓደ ካብቲ ኣብ ኢትዮጵያ ኣዝዩ ህቡብ ዝዀነ ጥዑም ብልዒ: ኵርዅሮ ስጋ እዩ ። ክልተ ሰባት ፍርቂ ኪሎ ቴረ ሲጋ ይእዝዙ ፡ እዚ ድማ ነቲ ካብ ጥረ ስጋ ኣውጺእካ እተእትዎ ስጋ ንምጥጣሕ እንጀራ ወይ ሕብስቲ ይብላዕ ፡ ዝተቐድሐ መጠን ማይጥጣ ድማ ይጥለቕ ።	1,1	1	mistranslation,omission
https://edition.cnn.com/travel/article/ethiopian-food-best-dishes-africa/index.html#:~:text=Wot%20is%20Ethiopia%27s%20version%20of%20curry%2C%20and,a%20guest%20as%20a%20sign%20of%20respect.	Arts_and_Culture	Wot is Ethiopia's version of curry, and the ubiquitous companion of injera. While beef and goat are often used with wot, chicken -- doro in Amharic -- reigns as the wot champion. Doro wot is made with chicken drumsticks or wings cooked and served in a hot sauce of butter, onion, chilli, cardamom and berbere. In the midst of this stew incongruously bobs a hard-boiled egg. It proves a delicious accompaniment -- typically offered to a guest as a sign of respect.	en	ti	ዎት ናይ ኢትዮጵያ ስሪት ካሪ፣ ኣብ ኩሉ ቦታታት ዝርከብ መሓዛ ኢንጀራ ድማ እዩ። ስጋ ከብትን ምራኽን መብዛሕትኡ ግዜ ምስ ዎት ክጥቀሙ እንከለዉ፡ ደርሆ -- ብቋንቋ ኣምሓርኛ ዶሮ -- ሻምፕዮን ዎት ኮይኑ ይነግስ። ዶሮ ዎት ብከበሮ ደርሆ ወይ ክንፊ ተበሲሉ ኣብ ውዑይ ሶስ ሓርጭ፡ ቱፋሕ፡ ምራቕ፡ ካርዳሞን በርበረን ይቐርብ። ኣብ ማእከል እዚ ሽሮ ብዘይምስምማዕ ተሪር ዝፈለሐ እንቋቑሖ ይነፍስ። ጥዑም መሰነይታ ምዃኑ የረጋግጽ -- ብተለምዶ ንሓደ ጋሻ ከም ምልክት ኣኽብሮት ዝቐርብ።	3, 2, 2, 1, 4	2.0	mistranslation	ዎት ናይ ኢትዮጵያ ቅዳሕ ካሪ ከምኡውን ኣብ ኵሉ ቦታታት ዝርከብ ብጻይ ኢንጀራ ኢዩ። ስጋን ድቤላን መብዛሕትኡ ግዜ ብኽዳን ዚዝውተር እኳ እንተ ዀነ ደርሆ ማለት ዶሮ ብኣምሓርኛ ጐብለል ክዳን ኰይኑ እዩ ዚገዝእ ። ዶሮ ዎት ብበትሪ ደርሆ ወይ ኣኽናፍ ጌርካ እዩ ዚስራሕ ፣ ኣብ ውዑይ ስጎ ጠስሚ ሽጕርቲ ቺሊ ካርዳም ከምኡውን በርበር ድማ ይቐርብ ። ኣብ ማእከል እዚ ጸብሒ እዚ ተሪር ዝበሰለ እንቋቝሖ ይጭፍልቕ። መብዛሕትኡ ግዜ ንሓደ ጋሻ ኸም ምልክት ኣኽብሮት ጌርካ ዚቐርብ ጥዑም ምቅርራብ እዩ ።	2, 1, 4, 3, 4	2.0	Mistranslation,Spelling	ዎት ናይ ኢትዮጵያ ህርመትን ናይ እንጀራ መገላግልን እያ ። ናይ ጤል ይኹን ናይ ጤል ብዙሕ ግዜ ምስ ዶል ፣ ደርሆ- ዶሮ ኣብ ኣምሓርኛ እዩ ዝጥቀም ፡ እዚ ናይ ወብ ሳይት ሻምፕዮንነት ነጊሱ ። ዶሮ ወዝ ብጨርቂ ከበሮ ደርሆ ወይ ብኣኽናፍ ጌርካ ዝስራሕ ኰይኑ ፡ ጠስሚ ፡ ሽጉርቲ ፡ ቺሊ ፡ ካርታሞምን በርበረን ኣብ ዘለዎ ውዑይ ጋብላ እዩ ዝቐርብ ። ኣብ ማእከል እዚ መጋቢ ፡ ተሪር ዝበሰለ እንቋቝሖ ይቕበር ። ደስ ዘብል ተሰንዮ የረጋግጽ- ከም ምልክት ክብሪ ጋሻ ።	1,1,1,2,1	1	mistranslation,omission
https://culturalatlas.sbs.com.au/ethiopian-culture/ethiopian-culture-core-concepts#ethiopian-culture-core-concepts:~:text=Ethiopians%20and%20Eritreans,or%20tribe.	Arts_and_Culture	Ethiopians and Eritreans both generally identify as ‘habesha’. This term is used to describe the unique culture and people of the Ethiopian/Eritrean region, regardless of ethnicity. Historically, “habesha” exclusively referred to the Semitic tribes and ethnicities in Eritrea and northern Ethiopia (such as the Amhara, Tigray and Tigrinya people). Today, however, habesha is commonly used as a unifying word to describe all people in the region, regardless of ethnicity or tribe.	en	ti	ኢትዮጵያውያንን ኤርትራውያንን ብሓፈሻ &#39;ሓበሻ&#39; ኢሎም እዮም ዝልለዩ። እዚ ቃል ብሄር ብዘየገድስ ፍሉይ ባህልን ህዝብን ዞባ ኢትዮጵያ/ኤርትራ ንምግላጽ ዝውዕል እዩ። ብታሪኽ “ሓበሻ” ኣብ ኤርትራን ሰሜን ኢትዮጵያን ንዝርከቡ ሴማውያን ቀቢላታትን ብሄራትን (ከም ህዝቢ ኣምሓራ፣ ትግራይን ትግርኛን) ጥራሕ እዩ ዘመልክት ነይሩ። ሎሚ ግን፡ ሓበሻ፡ ብሄር ይኹን ቀቢላ ብዘየገድስ፡ ንዅሎም ኣብቲ ክልል ዘለዉ ሰባት ንምግላጽ ከም ሓደ ዘዋሃህድ ኣጸዋውዓ ዝጥቀሙሉ ልሙድ እዩ።	4, 4, 4, 4	4.0		"ኢትዮጵያውያንን ኤርትረያውያንን ብሓፈሻ 'ሃበሻ' ኢሎም እዮም ዚጽውዑ። እዛ ቓል እዚኣ ዓሌቶም ብዘየገድስ ነቲ ፍሉይ ባህልን ህዝብን ዞባ ኢትዮጵያን ኤርትራውያንን ንምግላጽ እያ እትውዕል። ታሪኻዊ ጸብጻብ ከም ዚሕብሮ እታ ""ሃበሻ"" እትብል ቃል ነቶም ኣብ ኤርትርያን ሰሜናዊ ኢትዮጵያን (ከም ኣምሃራን ጢግራይን ጢግሪንያን ዝኣመሰሉ) ዝነበሩ ሰማዊ ዓሌታትን ዓሌታትን ጥራይ እያ እተመልክት። ሎሚ ግን ሃበሻ ዓሌቶም ወይ ቀቢላኦም ብዘየገድስ ንዅሎም እቶም ኣብቲ ኸባቢ ዚነብሩ ሰባት ንምግላጽ ሓድነት ከም ዚህልዋ ቓል ጌርካ እዩ ዚዝውተር ።"	4, 4, 1, 3	1.0	Mistranslation	"ኢትዮጵያዊያንን ኤርትራውያንን ብሓፈሻ 'ሓበሻ' ኢሎም ይጽውዑ ። እዚ ስያመ ""ዚ ፡ ዓሌት ብዘየገድስ ፡ ፍሉይ ባህልን ህዝብን ዞባ ኢትዮጵያ / ኤርትራ ንምግላጽ ዘገልግል እዩ ። ታሪኽ ከም ዝሕብሮ ፡ ""ሓበሻ"" ነቶም ኣብ ኤርትራን ሰሜናዊ ኢትዮጵያን ዝርከቡ ሰመያዊ ነገዳትን ዓሌታትን (ከም ኣምሓራ ፡ ትግራይን ትግርኛን ዝኣመሰሉ) ጥራይ እዩ ዘመልክት ። ሎሚ ግን ፡ ሓበሻ ዓሌቱ ወይ ዓሌቱ ብዘየገድስ ፡ ንዅሎም እቶም ኣብቲ ዞባ ዘለዉ ሰባት ብሓድነት ንምግላጽ የገልግል ኣሎ ።"	2,4,4,4	2	mistranslation
https://www.brilliant-ethiopia.com/historical-monuments-of-ethiopia#:~:text=Lalibela%20occupies%20a,of%20their%20attraction.	Arts_and_Culture	Lalibela occupies a dramatic position atop wide valleys and surrounded by weather-gouged escarpments beyond which jagged peaks rise. A place of faith, festivals, mystery and legends that will engage your heart as much as your mind. It is famous for its rock-hewn churches, the exact origins of the churches and their construction are still disputed, which is part of their attraction.	en	ti	ላሊቤላ ኣብ ልዕሊ ሰፊሕ ጎላጉል ድራማዊ ቦታ ዝሓዘትን ብኹነታት ኣየር ብዝተበላሸወ በረድ ዝተኸበበትን ካብኡ ሓሊፉ ሰንሰለታዊ ጫፋት ይለዓል። ንልብኻ ማዕረ ኣእምሮኻ ዘሳትፍ ናይ እምነትን በዓላትን ምስጢራትን ኣፈ-ታሪኻትን ቦታ። ብኣኻውሕ ዝተቖርጹ ኣብያተ ክርስትያናት ፍሉጥ እዩ፣ ልክዕ ኣመጻጽኣ ናይተን ኣብያተ ክርስቲያናትን ህንጸቶምን ክሳብ ሕጂ ኣብ ክርክር ይርከብ፣ እዚ ድማ ኣካል ናይቲ ዝስሕቦም እዩ።	3,4,4	4.0		ላሊቤላ ኣብ ልዕሊ እቲ ሰፊሕ ስንጭሮታት ብዜደንቕ መገዲ እያ እትርከብ፣ በቲ ዅነታት ኣየር ዚበዝሖ ቝልቍለት ድማ ተኸቢባ እያ ዘላ። ልክዕ ከም ኣእምሮኻ ንልብኻ ዝትንክፍ ናይ እምነት በዓላት ምስጢር ከምኡውን ኣፈ-ታሪኽ ቦታ ኢዩ። እተን ኣኻውሕ ዝመልኦ ኣብያተ-ክርስትያና ብልክዕ መበቈል ኣብያተ-ክርስትያንን ህንጸተንን ክሳዕ ሕጂ ይከራኸር እዩ፣ እዚ ኸኣ ሓደ ኻብቲ ዚስሕበን ነገራት እዩ።	2,4,2	2.0	Spelling,Grammar	ላሊበላ ኣብ ሰፊሕ ስንጭሮታት ዓብዪ ቦታ እዩ ዘለዋ ፣ ኣብ ከባቢኣ ከኣ ፡ ኣዝዩ ሰፊሕ ኣራእስ ኣብ ዝበዝሖ ቦታ እዩ ዝርከብ ። ቦታ እምነት ፡ በዓላት ፡ ምስጢርን ኣፈ-ታሪኽን ንልብኻ ከም ሓሳብካ ክገብሮ እዩ ። በተን ኣኻውሕ ዝመልአን ኣብያተ-ክርስትያናትን ልክእ መበቈል ኣብያተ-ክርስትያናትን ህንጸተንን ክሳዕ ሕጂ ኣከራኻሪ እዩ ፣ እዚ ድማ ክፋል እቲ መስሕብኦም እዩ ።	1,2,1	1	omission
https://www.brilliant-ethiopia.com/historical-monuments-of-ethiopia#:~:text=As%20the%20home,and%20Ancient%20India.	Arts_and_Culture	As the home to the Queen of Sheba and the Ark of the Covenant – the storied artefact of Moses’ 10 commandments – Axum is one of the oldest continuously inhabited cities in northern African, dating back to 400 BC. Today, residents of the ancient city seem blissfully unaware of its glorious past that saw the Aksumite Empire thrive as a trading nation and major player in commerce between the Roman Empire and Ancient India.	en	ti	ከም መንበሪት ንግስቲ ሳባን ታቦት ኪዳንን - እቲ ዛንታ ዘለዎ ቅርስታት ናይ 10 ትእዛዛት ሙሴ - ኣክሱም ሓንቲ ካብተን ኣብ ሰሜናዊ ኣፍሪቃ ብቐጻሊ ዝነብሩለን ዝነበራ ጥንታውያን ከተማታት ኮይና፡ ካብ 400 ቅድሚ ልደተ ክርስቶስ ዝጅምር እያ። ሎሚ፡ ነበርቲ እታ ጥንታዊት ከተማ፡ ግዝኣት ኣክሱማዊት ከም ንግዳዊ ሃገርን ኣብ መንጎ ግዝኣት ሮማን ጥንታዊት ህንድን ኣብ ንግድን ቀንዲ ተጻዋታይን ክስስን ዝረኣየ ክቡር ሕሉፍ ታሪኻ ብሓጎስ ዘይፈልጡ ይመስሉ።	4, 4	4.0		ኣክሱም መንበሪ ንግስቲ ሳባን ታቦት ኪዳንን ከም ምዃኑ መጠን - እቲ ሙሴ ዝሃቦ 10 ትእዛዛት - ኣክሱም ሓንቲ ኻብተን ብ400 ቅ. ክ. ሎሚ ተቐማጦ እታ ጥንታዊት ከተማ ሃጸያዊ ግዝኣት ኣክሱማት ከም ሓንቲ ሃገር ንግድን ኣብ መንጎ ሃጸያዊ ግዝኣት ሮሜን ጥንታዊት ህንድን ኣብ ዚግበር ንግዲ ዓብዪ ተሳታፊን ከም ዝዀነት ገይሮም ዚርእይዎ ዝነበሩ ዜደንቕ ሕሉፍ ታሪኽ ኣይፈልጡን እዮም።	2	2.0	Grammar,Omission	እንዳ ንግስቲ ሳባን ታቦት ኪዳንን ፡ ማለት እቲ ብድርቅና እተሰርሐ ኣርተፊሻል ትእዛዝ ሙሴ ፡ - ኣብ ሰሜናዊ ኣፍሪቃ ፡ 400 ቅ.ክ. ዝነበረ ፡ ሓንቲ ካብተን ብቐጻሊ ነበርቲ ዝነብሩለን ከተማታት እያ ። ሎሚ ተቐማጦ እታ ጥንታዊት ከተማ ነቲ ሃጸያዊ ግዝኣት ኣክሱም ከም ሓደ ህዝቢ ንግዲ: ኣብ መንጎ ሃጸያዊ ግዝኣት ሮሜን ጥንታዊት ሕንዲን ከኣ ከም ቀንዲ ተጻባእቲ ንግዲ ኰይኑ ክዓዪ ዝረኣዮ ሕሉፍ ታሪኽ ከይፈለጡ ተሓጒሶም እዮም ።	1,1,1	1	mistranslation,omission
https://www.brilliant-ethiopia.com/historical-monuments-of-ethiopia#:~:text=Known%20for%20its%20famous,a%20visit%20to%20Harar.	Arts_and_Culture	Known for its famous array of markets, the famous Hyena Men, ancient paintings and artefacts spanning all cultures, it's easy to get lost in the never-ending maze of the winding streets of Harar. Harar has a distinct character, and is very different to the most other towns in Ethiopia. It's a little further out of the way, so requires a domestic flight there and back, but those who have a little extra space in their itinerary shouldn't miss out on a visit to Harar.	en	ti	ብፍሉጥ ስርርዕ ዕዳጋታት፡ ፍሉጣት ሂና መን፡ ንኹሉ ባህልታት ዝሽፍን ጥንታውያን ስእልታትን ቅርስታትን ዝፍለጥ፡ ኣብቲ መወዳእታ ዘይብሉ ዕንክሊል ናይቲ ጠውዮም ዝኸዱ ጎደናታት ሃረር ክትጠፍእ ቀሊል እዩ። ሃረር ፍሉይ ባህሪ ዘለዋ ኮይና፡ ካብተን ዝበዝሓ ካልኦት ከተማታት ኢትዮጵያ ኣዝየን ዝተፈልየት እያ። ቁሩብ ካብ መንገዲ ወጻኢ ስለዝኾነ ናብኡን ምምላስን ናይ ውሽጢ ሃገር በረራ የድሊ፡ እቶም ኣብ መገሻኦም ቁሩብ ተወሳኺ ቦታ ዘለዎም ግን ናብ ሃረር ምብጻሕ ከሕልፉ የብሎምን።	4,4,4	4.0		በቲ ህቡብ ዕዳጋታት ህቡብ ዝዀነ ሃይና ሰብኡት ኣብ ኵሉ ባህልታት ዝርከብ ጥንታዊ ቅብኣታትን ስርሓት ኢደ-ስርሓትን ፍልጥቲ ስለ ዝዀነት ኣብቲ መወዳእታ ዘይብሉ ዓዘቕቲ ዝመልኦ ጐደናታት ሃራር ብቐሊሉ ክትጠፍእ ትኽእል ኢኻ። ሃራር ፍልይ ዝበለ ገጸ ባህርይ ኣለዎ ካብተን ኣብ ኢትዮጵያ ዚርከባ ኻልኦት ከተማታት ከኣ ኣዝዩ እተፈልየ እዩ። ቍሩብ ርሒቕካ ስለ ዘሎ ናብ ውሽጢ ሃገር ብነፋሪት ክትምለስ ኣሎካ፣ እቶም ኣብ ጕዕዞኦም ቍሩብ ተወሳኺ ቦታ ዘለዎም ግና ናብ ሃራር ካብ ምብጻሕ ኬምልጡ የብሎምን።	3,4,2	2.0	Grammar,Spelling	በቲ ህቡብ ዝዀነ ዕዳጋ ዝፍለጥ ህቡብ ዝብኢ ፡ ካብ ኵሉ ባህልታት ዝወጽእ ጥንታዊ ስእልታትን ቅርጻታትን ፡ ኣብቲ ፈጺሙ ዘይጠፍእ ጐደናታት ሓራር ብቐሊሉ ክትጠፍእ ትኽእል ኢኻ ። ሓራር ፍሉይ ባህርይ ኣለዋ ፡ ካብተን ካልኦት ከተማታት ኢትዮጵያ ድማ ኣዝያ እተፈልየት እያ ። ቍሩብ ርሕቕ ኢሉ እዩ ዘሎ ፡ ስለዚ ዘቤታዊ በረራ ኣብኡ ምግባር የድሊ እዩ ፡ እቶም ኣብቲ ናይ መሕጸቢ ነቝጣ ቦታ ዘለዎም ግን ናብ ኻራር ምብጻሕ ክሓልፉ የብሎምን ።	1,4,1	1	mistranslation,omission
